Player▲,Pos,AV,From,To
A.J. Feeley\FeelA.00,QB,8,2001,2011
A.J. McCarron\McCaA.00,QB,4,2014,2019
Aaron Brooks\BrooAa00,QB,72,2000,2006
Aaron Murray\MurrAa00,QB,,2014,2014
Aaron Rodgers\RodgAa00,QB,184,2005,2019
Abe Karnofsky\KarnAb20,QB-HB-DB,,1945,1946
Ace Parker+\ParkAc20,TB-DB-QB,,1937,1946
Adam Weber\WebeAd00,QB,0,2012,2012
Adrian Breen\BreeAd20,QB,0,1987,1987
Adrian Burk\BurkAd00,QB,,1950,1956
Akili Smith\SmitAk00,QB,1,1999,2002
Al Dorow\DoroAl00,QB,27,1954,1962
Al Johnson\JohnAl20,QB-P,,1948,1948
Al Woodall\WoodAl00,QB,13,1969,1974
Alan Pastrana\PastCh00,QB,2,1969,1970
Alan Risher\RishAl20,QB,2,1985,1987
Albie Reisz\ReisAl20,TB-HB-QB,,1944,1947
Alex Espinoza\EspiAl21,QB,0,1987,1987
Alex Smith\SmitAl03,QB,118,2005,2018
Alex Tanney\TannAl00,QB,0,2012,2019
Alex Van Pelt\VanPAl00,QB,7,1995,2003
Allie Sherman\SherAl20,QB,,1943,1947
Andre Ware\WareAn00,QB,5,1990,1993
Andrew Luck\LuckAn00,QB,79,2012,2018
Andrew Walter\WaltAn00,QB,1,2006,2008
Andy Dalton\DaltAn00,QB,98,2011,2019
Andy Hall\HallAn00,QB,0,2005,2005
Angelo Bertelli\BertAn20,QB,,1946,1948
Anthony Dilweg\DilwAn00,QB,4,1989,1990
Anthony Wright\WrigAn00,QB,11,2000,2007
Anton Stolfa\StolAn20,QB-DB,,1939,1939
Archie Manning\MannAr00,QB,93,1971,1984
Archie Roberts\RobeAr00,QB,0,1967,1967
Armanti Edwards\EdwaAr00,QB,1,2010,2013
Arnie Galiffa\GaliAr20,QB,,1953,1954
Art Schlichter\SchlAr00,QB,4,1982,1985
Austin Davis\DaviAu00,QB,6,2012,2017
Ave Kaplan\KaplAv20,BB-HB-QB,,1923,1923
B.J. Coleman\ColeB.00,QB,0,2012,2012
B.J. Daniels\DaniB.00,QB,0,2014,2015
Babe Laufenberg\LaufBa00,QB,4,1986,1990
Babe Parilli\PariBa00,QB,71,1952,1969
Baker Mayfield\MayfBa00,QB,21,2018,2019
Bart Starr+\StarBa00,QB,114,1956,1971
Ben Bennett\BennBe20,QB,0,1987,1987
Ben Roethlisberger\RoetBe00,QB,186,2004,2019
Benjy Dial\DialBe00,QB,0,1967,1967
Benny Russell\RussBe00,QB,0,1968,1968
Bernard Quarles\QuarBe20,QB,0,1987,1987
Bernie Kosar\KosaBe00,QB,80,1985,1996
Bernie Lee\LeexBe20,QB,,1938,1938
Bernie Masterson\MastBe20,QB,,1934,1940
Bert Jones\JoneBe00,QB,93,1973,1982
Bev Wallace\WallBe20,QB,,1947,1951
Bill Cappleman\CappBi00,QB,0,1970,1973
Bill Demory\DemoBi00,QB,1,1973,1974
Bill Donckers\DoncBi00,QB,0,1976,1977
Bill Dudley+\DudlBi00,HB-TB-QB,,1942,1953
Bill Garnaas\GarnBi20,QB,,1946,1948
Bill Glenn\GlenBi20,QB,,1944,1944
Bill Houle\HoulBi20,BB-QB,,1924,1924
Bill Hutchinson\HutcBi20,QB,,1942,1942
Bill Joyce\JoycBi20,QB,,1920,1920
Bill Kenney\KennBi00,QB,59,1980,1988
Bill Mackrides\MackBi20,QB,,1947,1953
Bill Munson\MunsBi00,QB,58,1964,1979
Bill Musgrave\MusgBi00,QB,1,1991,1996
Bill Nelsen\NelsBi00,QB,60,1963,1972
Bill Troup\TrouBi00,QB,6,1974,1980
Billy Guy Anderson\AndeBi21,QB,0,1967,1967
Billy Joe Hobert\HobeBi00,QB,7,1995,1999
Billy Joe Tolliver\TollBi00,QB,29,1989,1999
Billy Kilmer\KilmBi00,QB-HB,93,1961,1978
Billy Stevens\StevBi00,QB,0,1968,1969
Billy Volek\VoleBi00,QB,12,2001,2011
Billy Wade\WadeBi00,QB,53,1954,1966
Blaine Gabbert\GabbBl00,QB,17,2011,2018
Blair Kiel\KielBl00,QB,4,1984,1991
Blake Bortles\BortBl00,QB,48,2014,2019
Bob Avellini\AvelBo00,QB,30,1975,1984
Bob Berry\BerrBo00,QB,42,1965,1975
Bob Bleier\BleiBo20,QB,1,1987,1987
Bob Brodhead\BrodBo00,QB,1,1960,1960
Bob Celeri\CeleBo00,QB,,1951,1952
Bob Clatterbuck\ClatBo00,QB,1,1954,1960
Bob Davis\DaviBo00,QB,10,1967,1973
Bob DeMoss\DeMoBo20,QB,,1949,1949
Bob Dunlap\DunlBo20,DB-QB,,1935,1936
Bob Gagliano\GaglBo00,QB,14,1982,1992
Bob Gambold\GambBo20,QB,,1953,1953
Bob Griese+\GrieBo00,QB,139,1967,1980
Bob Hewko\HewkBo20,QB,0,1983,1983
Bob Holly\HollBo00,QB,1,1983,1985
Bob Laraba\LaraBo20,LB-QB,10,1960,1961
Bob Leahy\LeahBo00,QB,0,1971,1971
Bob Lee\LeexBo00,QB-P,21,1969,1980
Bob Monnett\MonnBo20,TB-HB-QB,,1933,1938
Bob Naponic\NapoBo00,QB,0,1970,1970
Bob Ptacek\PtacBo20,QB,,1959,1959
Bob Rapp\RappBo20,WB-BB-HB-QB,,1922,1929
Bob Schweickert\SchwBo00,QB,0,1965,1967
Bob Scrabis\ScraBo00,QB,0,1960,1962
Bob Snyder\SnydBo20,TB-QB,,1937,1943
Bob Trocolor\TrocBo20,QB-HB,,1942,1944
Bob Waterfield+\WateBo01,QB,,1945,1952
Bob Waters\WateBo00,QB,5,1960,1963
Bob Williams\WillBo20,QB,,1951,1955
Bobby Douglass\DougBo00,QB,41,1969,1978
Bobby Garrett\GarrBo20,QB,,1954,1954
Bobby Hebert\HebeBo00,QB,79,1985,1996
Bobby Hoying\HoyiBo00,QB,2,1996,2000
Bobby Layne+\LaynBo00,QB,21,1948,1962
Bobby Scott\ScotBo00,QB,10,1973,1981
Bobby Thomason\ThomBo02,QB,,1949,1957
Boley Dancewicz\DancBo20,QB-DB,,1946,1948
Boomer Esiason\EsiaBo00,QB,136,1984,1997
Brad Goebel\GoebBr00,QB,1,1991,1994
Brad Johnson\JohnBr00,QB,90,1994,2008
Brad Sorensen\SoreBr00,QB,,2014,2014
Bradlee Van Pelt\VanPBr00,QB,0,2005,2005
Brady Quinn\QuinBr00,QB,2,2007,2012
Brandon Allen\AlleBr00,QB,2,2019,2019
Brandon Weeden\WeedBr00,QB,15,2012,2018
Brendan Folmar\FolmBr20,QB,0,1987,1987
Brent Pease\PeasBr00,QB,3,1987,1988
Brett Basanez\BasaBr00,QB,0,2006,2006
Brett Favre+\FavrBr00,QB,255,1991,2010
