Player,Pos,AV,From,To
A.B. Brown\BrowAB00,RB,0,1989,1992
A.D. Whitfield\WhitA.00,RB,16,1965,1968
A.J. Jones\JoneA.20,RB,0,1982,1985
Aaron Brown\BrowAa00,RB,2,2009,2011
Aaron Craver\CravAa00,RB,21,1991,1999
Aaron Green\GreeAa01,RB,0,2016,2016
Aaron Hayden\HaydAa00,RB,5,1995,1998
Aaron Jones\JoneAa00,RB,21,2017,2019
Aaron Stecker\StecAa00,RB,21,2000,2009
Adam Walker\WalkAd00,RB,2,1992,1996
Adam Walker\WalkAd20,RB,0,1987,1987
Adger Armstrong\ArmsAd00,RB,8,1980,1985
Adimchinobe Echemandu\EcheAd00,RB,1,2004,2007
Adrian Murrell\MurrAd00,RB,42,1993,2003
Adrian Peterson\PeteAd00,RB,12,2002,2009
Adrian Peterson\PeteAd01,RB,121,2007,2019
Adrian Wright\WrigAd20,RB,2,1987,1987
Ahmad Bradshaw\BradAh00,RB,47,2007,2015
Ahman Green\GreeAh00,RB,93,1998,2009
Ahmard Hall\HallAh00,RB,5,2006,2011
Akeem Hunt\HuntAk01,RB,2,2015,2017
Al Haywood\HaywAl20,RB,0,1975,1975
Al Hunter\HuntAl00,RB,9,1977,1980
Al Wolden\WoldAl20,RB,0,1987,1987
Alan Reid\ReidAl20,RB,0,1987,1987
Albert Bentley\BentAl00,RB,38,1985,1992
Albert Young\YounAl01,RB,0,2009,2010
Alex Collins\CollAl00,RB,14,2016,2018
Alex Green\GreeAl00,RB,5,2011,2013
Alex Haynes\HaynAl00,RB,0,2007,2007
Alex Moore\MoorAl01,RB,0,1968,1968
Alexander Mattison\MattAl01,RB,4,2019,2019
Alfonso Smith\SmitAl22,RB,2,2010,2014
Alfred Anderson\AndeAl00,RB,25,1984,1991
Alfred Blue\BlueAl00,RB,19,2014,2018
Alfred Morris\MorrAl00,RB,39,2012,2019
Allan Clark\ClarAl00,RB,1,1979,1982
Allen Bradford\BradAl00,RB,1,2011,2015
Allen Carter\CartAl00,RB,2,1975,1976
Allen Harvin\HarvAl20,RB,0,1987,1987
Allen Pinkett\PinkAl00,RB,26,1986,1991
Allen Rice\RiceAl00,RB,18,1984,1991
Allen Smith\SmitAl00,RB,1,1966,1967
Allen Williams\WillAl21,RB,0,1995,1995
Alois Blackwell\BlacAl20,RB,0,1978,1979
Alonzo Coleman\ColeAl21,RB,0,2008,2008
Alonzo Harris\HarrAl00,RB,0,2015,2015
Alonzo Highsmith\HighAl00,RB,12,1987,1992
Alonzo Williams\WillAl22,RB,0,1987,1987
Altie Taylor\TaylAl00,RB,67,1969,1976
Alvester Alexander\AlexAl00,RB,0,2012,2012
Alvin Blount\BlouAl20,RB,1,1987,1987
Alvin Kamara\KamaAl00,RB,43,2017,2019
Alvin Maxson\MaxsAl00,RB,14,1974,1978
Alvin Mitchell\MitcAl22,RB,0,1989,1989
Alvin Moore\MoorAl00,RB,6,1983,1987
Alvin Pearman\PearAl00,RB,5,2005,2009
Alvin Ross\RossAl20,RB,1,1987,1987
Ameer Abdullah\AbduAm00,RB,13,2015,2019
